DATE,Eco_Growth,Inflation,Int. Trade,Monetary_Policy,Risk_Apetite,S&P
01-09-2013,0.09,233.544,93.470565,0.404,4.642857143,1687.1735
01-10-2013,-0.01,233.669,92.49926818,0.335454545,4.554347826,1720.026522
01-11-2013,0.29,234.1,93.37366842,0.303684211,4.321363636,1783.541
01-12-2013,-0.16,234.719,93.53402,0.34,4.087142857,1807.775238
01-01-2014,-0.71,235.288,94.46474762,0.393809524,3.967727273,1822.356667
01-02-2014,0.44,235.547,94.64558235,0.326842105,4.0305,1817.034737
01-03-2014,0.47,236.028,94.44082105,0.399047619,3.807619048,1863.523333
01-04-2014,0.03,236.468,93.99555,0.417142857,3.705238095,1864.263333
01-05-2014,0.1,236.918,93.67002857,0.389047619,3.75,1889.767143
01-06-2014,0.12,237.231,93.82740476,0.452380952,3.471904762,1947.087619
01-07-2014,0.29,237.498,93.60385909,0.506363636,3.653043478,1973.1
01-08-2014,-0.22,237.46,94.58080952,0.472380952,3.971818182,1961.531905
01-09-2014,0.02,237.477,96.12086667,0.566666667,4.06,1993.22619
01-10-2014,0.02,237.43,97.43960455,0.445454545,4.514347826,1937.274348
01-11-2014,0.26,236.983,99.11468889,0.527222222,4.457619048,2044.572105
01-12-2014,0.06,236.252,101.4441333,0.635454545,5.075909091,2054.266364
01-01-2015,-0.27,234.747,103.76074,0.5515,5.294285714,2028.1785
01-02-2015,-0.47,235.342,105.1685389,0.618947368,4.711428571,2082.195789
01-03-2015,-0.02,235.976,107.3647381,0.640454545,4.664545455,2079.990455
01-04-2015,-0.02,236.222,106.3522818,0.54,4.626666667,2094.862857
01-05-2015,-0.34,237.001,105.406515,0.609,4.50952381,2111.9435
01-06-2015,-0.13,237.657,106.1789864,0.688636364,4.66,2099.283636
01-07-2015,0.3,238.034,108.1235682,0.667727273,5.106086957,2094.143636
01-08-2015,-0.25,238.033,109.9767476,0.697619048,5.658095238,2039.86619
01-09-2015,-0.13,237.498,110.8512571,0.713333333,5.868181818,1944.402381
01-10-2015,-0.26,237.733,109.9035714,0.644761905,6.197391304,2024.812727
01-11-2015,-0.35,238.017,111.6916105,0.884736842,6.136190476,2080.6165
01-12-2015,-0.29,237.761,112.7857409,0.982727273,6.870909091,2054.079545
01-01-2016,0.07,237.652,115.2343875,0.899473684,7.625238095,1918.597895
01-02-2016,-0.22,237.336,114.281735,0.7335,8.225714286,1904.4185
01-03-2016,-0.34,238.08,111.8933913,0.875,6.983181818,2021.954091
01-04-2016,-0.12,238.992,110.0170762,0.768095238,6.619545455,2075.535238
01-05-2016,-0.33,239.557,111.1405143,0.816190476,6.260909091,2065.550952
01-06-2016,0.12,240.222,111.5596273,0.731363636,6.104090909,2083.891364
01-07-2016,0.02,240.101,112.47729,0.6725,5.649090909,2148.902
01-08-2016,-0.18,240.545,111.4383696,0.737391304,5.3,2177.482174
01-09-2016,-0.09,241.176,112.3168619,0.770952381,5.145454545,2157.690952
01-10-2016,-0.06,241.741,113.474695,0.843,4.736666667,2143.020952
01-11-2016,-0.21,242.026,116.107515,0.9795,4.889090909,2164.985714
01-12-2016,0.38,242.637,117.9048286,1.196666667,4.282727273,2246.629048
01-01-2017,-0.12,243.618,117.7860789,1.2065,4.011428571,2275.116
01-02-2017,-0.08,244.006,116.1203368,1.201052632,3.853,2329.910526
01-03-2017,0,243.892,115.6553826,1.313043478,3.89826087,2366.822174
01-04-2017,0.31,244.193,114.769785,1.241052632,3.911,2359.309474
01-05-2017,0,244.004,114.2607318,1.301818182,3.743478261,2395.345909
01-06-2017,0.15,244.163,112.7613727,1.342272727,3.750909091,2433.985455
01-07-2017,-0.17,244.243,111.061735,1.3725,3.691904762,2454.1025
01-08-2017,0,245.183,109.9073478,1.335217391,3.833913043,2456.223043
